Height;Weight;Length;FurLength;PawSize;EarShape;Animal
25;4;30;Short;Small;Round;Cat
32;6;38;Medium;Medium;Triangular;Cat
38;8;45;Long;Large;Medium;Dog
28;5;35;Short;Small;Round;Cat
35;7;42;Medium;Medium;Triangular;Dog
30;6;36;Short;Small;Round;Cat
31;5;37;Short;Small;Round;Cat
34;7;41;Medium;Medium;Triangular;Dog
29;4;35;Short;Small;Round;Cat
32;6;38;Medium;Medium;Medium;2
36;8;43;Long;Large;Medium;Dog
27;5;33;Short;Small;Round;Cat
33;6;40;Medium;Medium;Triangular;Dog
26;4;32;Short;Small;Round;Cat
35;7;42;Medium;Medium;Triangular;Cat
30;5;36;Short;Small;Round;Dog
28;4;34;Short;Small;Round;Cat
31;6;37;Short;Small;Round;Cat
34;7;41;Medium;Medium;Triangular;Dog
29;5;35;Short;Small;Round;Cat
32;6;38;Medium;Medium;Medium;2
36;8;43;Long;Large;Medium;Dog
27;5;33;Short;Small;Round;Cat
33;6;40;Medium;Medium;Triangular;Dog
26;4;32;Short;Small;Round;Cat
35;7;42;Medium;Medium;Triangular;Cat
30;10;38;Medium;Medium;Triangular;Dog
32;9;40;Medium;Medium;Triangular;Cat
35;11;43;Long;Large;Medium;Dog
28;9;35;Medium;Medium;Triangular;Cat
31;10;37;Medium;Medium;Triangular;Dog
38;12;45;Long;Large;Medium;Dog
40;15;50;Long;Large;Medium;Dog
35;10;42;Medium;Medium;Triangular;Dog
32;9;38;Medium;Medium;Triangular;Cat
36;11;44;Long;Large;Medium;Dog
28;8;35;Medium;Medium;Triangular;Cat
31;9;37;Medium;Medium;Triangular;Dog
34;10;41;Medium;Medium;Triangular;Dog
29;8;35;Medium;Medium;Triangular;Cat
60;30;100;Long;Large;Medium;Dog
55;25;90;Long;Large;Medium;Dog
45;18;70;Medium;Medium;Medium;Dog
65;35;110;Long;Large;Medium;Dog
50;20;80;Long;Large;Medium;Dog
42;15;65;Medium;Medium;Medium;Dog
38;12;55;Medium;Medium;Medium;Dog
30;6;36;Short;Small;Round;Cat
35;7;42;Medium;Medium;Triangular;Dog
