Weight,Price,Label
902,580,0
1235,891,0
1070,662,0
906,918,0
871,788,0
820,878,0
1414,760,0
921,989,0
1266,730,0
1014,540,0
1130,527,0
1258,634,0
887,700,0
1172,827,0
899,767,0
1463,917,0
930,532,0
1461,547,0
1108,906,0
1143,561,0
1291,715,0
1213,792,0
1185,598,0
991,671,0
1076,859,0
960,713,0
1259,974,0
1113,534,0
821,948,0
1052,726,0
1360,600,0
1274,930,0
858,961,0
1310,630,0
1481,756,0
1275,504,0
1499,717,0
989,754,0
1486,897,0
1362,858,0
1366,782,0
1043,892,0
1304,706,0
930,514,0
1284,845,0
1446,541,0
820,879,0
966,960,0
1073,678,0
1187,562,0
1400,851,0
1115,730,0
813,740,0
1041,551,0
1145,595,0
1364,887,0
1139,721,0
891,984,0
1166,906,0
1254,730,0
1227,736,0
1308,642,0
834,670,0
1005,528,0
880,535,0
1361,512,0
1187,659,0
801,826,0
1189,686,0
1365,742,0
905,585,0
1276,783,0
1201,565,0
1355,669,0
961,544,0
1001,561,0
1069,940,0
1070,633,0
1255,783,0
1261,527,0
1051,607,0
1095,543,0
1137,839,0
852,785,0
1016,945,0
987,830,0
1179,627,0
1292,847,0
840,972,0
956,730,0
814,689,0
864,724,0
1320,884,0
1143,876,0
928,782,0
1447,945,0
1271,620,0
862,615,0
938,960,0
1298,732,0
2782,360,1
2882,315,1
2209,274,1
2979,312,1
2934,303,1
2148,453,1
1817,426,1
2748,311,1
2757,298,1
2183,352,1
2163,393,1
2897,362,1
2995,407,1
2756,368,1
2636,360,1
1941,267,1
2063,488,1
2791,476,1
2909,334,1
2910,394,1
2636,327,1
2451,232,1
2604,375,1
2198,221,1
1612,437,1
1501,357,1
2141,237,1
1719,429,1
2354,250,1
2748,463,1
1884,482,1
2926,226,1
2653,425,1
2576,476,1
2229,485,1
2939,296,1
1746,483,1
2335,346,1
2962,203,1
1702,234,1
2707,391,1
1622,248,1
1900,216,1
2266,371,1
1793,419,1
1779,357,1
2383,245,1
1697,205,1
2481,298,1
2251,432,1
1643,236,1
2108,479,1
2724,380,1
2647,294,1
1686,298,1
2849,387,1
1963,315,1
2872,390,1
2159,452,1
2263,360,1
2454,455,1
1902,327,1
2869,217,1
1646,480,1
2671,422,1
2363,253,1
1988,257,1
2428,373,1
2050,479,1
1837,313,1
2371,487,1
2140,350,1
1972,326,1
1650,354,1
2938,472,1
2821,303,1
1762,498,1
1643,445,1
1845,375,1
2123,238,1
2516,369,1
2380,446,1
1501,225,1
2396,212,1
2827,235,1
1753,372,1
1952,219,1
2560,463,1
2683,341,1
2514,342,1
1508,291,1
2756,487,1
2622,414,1
2315,250,1
1707,352,1
2654,385,1
1903,262,1
1651,389,1
1553,324,1
2643,349,1
